wells	sampleids	xp_factor_1	xp_factor_2	biol_rep	tech_rep	gene	gene_type	ct_vals
107	sample107	Root	drought	3	A	DREB2A	target	27.6494
108	sample108	Root	drought	3	B	DREB2A	target	26.7652
109	sample109	Root	control	4	A	DREB2A	target	25.6491
110	sample110	Root	control	4	B	DREB2A	target	24.464
111	sample111	Root	drought	4	A	DREB2A	target	25.1371
112	sample112	Root	drought	4	B	DREB2A	target	24.4536
113	sample113	shoot	control	1	A	DREB2A	target	25.4164
114	sample114	shoot	control	1	B	DREB2A	target	25.2792
115	sample115	shoot	drought	1	A	DREB2A	target	23.9488
116	sample116	shoot	drought	1	B	DREB2A	target	22.8555
117	sample117	shoot	control	2	A	DREB2A	target	28.8261
118	sample118	shoot	control	2	B	DREB2A	target	28.0167
119	sample119	shoot	drought	2	A	DREB2A	target	26.1453
120	sample120	shoot	drought	2	B	DREB2A	target	25.0048
121	sample121	shoot	control	3	A	DREB2A	target	28.0494
122	sample122	shoot	control	3	B	DREB2A	target	25.7055
123	sample123	shoot	drought	3	A	DREB2A	target	28.319
124	sample124	shoot	drought	3	B	DREB2A	target	26.3377
125	sample125	shoot	control	4	A	DREB2A	target	25.4173
126	sample126	shoot	control	4	B	DREB2A	target	24.8615
127	sample127	shoot	drought	4	A	DREB2A	target	24.6974
128	sample128	shoot	drought	4	B	DREB2A	target	24.0945
129	sample129	Root	control	1	A	RAB18	target	28.3984
130	sample130	Root	control	1	B	RAB18	target	28.4734
131	sample131	Root	drought	1	A	RAB18	target	27.2178
132	sample132	Root	drought	1	B	RAB18	target	26.7853
133	sample133	Root	control	2	A	RAB18	target	31.17
134	sample134	Root	control	2	B	RAB18	target	30.187
135	sample135	Root	drought	2	A	RAB18	target	29.4032
136	sample136	Root	drought	2	B	RAB18	target	28.9839
137	sample137	Root	control	3	A	RAB18	target	28.3611
138	sample138	Root	control	3	B	RAB18	target	28.4012
139	sample139	Root	drought	3	A	RAB18	target	28.0131
140	sample140	Root	drought	3	B	RAB18	target	27.8823
141	sample141	Root	control	4	A	RAB18	target	30.165
142	sample142	Root	control	4	B	RAB18	target	30.1072
143	sample143	Root	drought	4	A	RAB18	target	27.8882
144	sample144	Root	drought	4	B	RAB18	target	27.5971
145	sample145	shoot	control	1	A	RAB18	target	24.5302
146	sample146	shoot	control	1	B	RAB18	target	24.017
147	sample147	shoot	drought	1	A	RAB18	target	23.4728
148	sample148	shoot	drought	1	B	RAB18	target	23.6204
149	sample149	shoot	control	2	A	RAB18	target	27.7872
150	sample150	shoot	control	2	B	RAB18	target	27.3559
151	sample151	shoot	drought	2	A	RAB18	target	23.7894
152	sample152	shoot	drought	2	B	RAB18	target	23.8944
153	sample153	shoot	control	3	A	RAB18	target	24.351
154	sample154	shoot	control	3	B	RAB18	target	24.3376
155	sample155	shoot	drought	3	A	RAB18	target	25.3696
156	sample156	shoot	drought	3	B	RAB18	target	24.5879
157	sample157	shoot	control	4	A	RAB18	target	23.8521
158	sample158	shoot	control	4	B	RAB18	target	23.4832
159	sample159	shoot	drought	4	A	RAB18	target	24.2205
160	sample160	shoot	drought	4	B	RAB18	target	23.9991
